subscription_id,customer_id,plan_id,start_date,end_date,status,billing_cycle,cancellation_reason
40,38,1,2023-02-16,2023-03-16,canceled,monthly,competitor
41,39,1,2023-03-05,,active,monthly,
42,40,2,2024-06-14,,active,monthly,
43,41,2,2023-01-17,,active,monthly,
44,42,4,2023-09-02,,active,yearly,
45,43,4,2023-01-08,,active,yearly,
46,44,2,2024-04-25,,active,monthly,
47,45,1,2023-05-06,2023-07-06,canceled,monthly,other
48,46,4,2023-10-29,2023-12-29,canceled,yearly,competitor
49,47,2,2023-02-26,,active,monthly,
50,48,1,2023-12-27,,active,monthly,
51,49,2,2023-08-31,2023-09-30,canceled,monthly,price
52,50,4,2023-10-16,,active,yearly,
53,51,1,2024-02-25,2024-04-25,canceled,monthly,features
54,52,1,2023-10-14,,active,monthly,
55,53,2,2024-02-12,2024-04-12,canceled,monthly,features
56,54,1,2023-09-29,,active,monthly,
57,55,2,2023-12-14,2024-01-14,canceled,monthly,other
58,56,1,2023-03-02,,active,monthly,
59,57,1,2023-01-01,2023-06-01,canceled,monthly,competitor
60,58,2,2023-02-28,,active,monthly,
61,59,4,2024-04-16,2024-05-16,canceled,yearly,other
62,60,1,2024-05-15,2024-06-30,canceled,monthly,competitor
63,61,3,2024-01-28,,active,monthly,
64,62,1,2024-04-14,,active,monthly,
65,63,4,2023-07-18,2023-09-18,canceled,yearly,competitor
66,64,2,2023-03-21,,active,monthly,
67,65,4,2023-08-26,2024-06-30,canceled,yearly,other
68,66,1,2024-01-17,,active,monthly,
69,67,1,2023-12-31,,active,monthly,
70,68,3,2024-01-20,,active,monthly,
71,69,2,2023-04-26,,active,monthly,
72,70,1,2024-02-11,,active,monthly,
73,71,2,2023-08-28,2023-09-28,canceled,monthly,price
74,71,1,2023-10-10,,active,monthly,
75,72,1,2024-02-06,,active,monthly,
76,73,2,2023-10-10,2023-11-10,canceled,monthly,price
77,74,1,2024-03-23,2024-06-30,canceled,monthly,other
78,75,1,2023-05-05,,active,monthly,
79,76,1,2024-04-30,2024-06-30,canceled,monthly,features
80,77,1,2023-12-06,,active,monthly,
81,78,2,2023-03-08,,active,monthly,
82,79,3,2024-06-23,2024-06-30,canceled,monthly,competitor
83,80,1,2024-03-09,2024-06-30,canceled,monthly,features
84,81,2,2024-06-24,,active,monthly,
85,82,2,2024-02-09,2024-06-30,canceled,monthly,features
86,83,2,2024-05-24,,active,monthly,
87,84,1,2023-07-23,2023-10-23,canceled,monthly,other
88,85,1,2023-03-18,2023-04-18,canceled,monthly,features
89,85,2,2023-04-23,2023-05-23,canceled,monthly,other
90,86,1,2024-01-20,2024-03-20,canceled,monthly,features
91,87,1,2023-08-10,,active,monthly,
92,88,1,2023-09-20,,active,monthly,
93,89,1,2023-05-22,2024-02-22,canceled,monthly,price
94,90,1,2023-08-07,2024-04-07,canceled,monthly,price
95,91,1,2023-03-14,2024-02-14,canceled,monthly,other
96,92,2,2023-09-12,,active,monthly,
97,93,2,2023-03-23,2023-04-23,canceled,monthly,competitor
98,94,1,2023-10-27,2023-12-27,canceled,monthly,other
99,95,1,2023-06-24,2024-02-24,canceled,monthly,features
100,96,3,2024-01-17,,active,monthly,
101,97,3,2023-10-13,,active,monthly,
102,98,1,2024-06-21,,active,monthly,
103,99,4,2023-05-08,,active,yearly,
104,100,1,2024-03-23,,active,monthly,
105,101,1,2023-05-12,2023-07-12,canceled,monthly,price
106,102,3,2024-03-20,,active,monthly,
107,103,2,2024-04-01,,active,monthly,
108,104,2,2024-04-23,2024-06-30,canceled,monthly,price
109,105,4,2023-06-19,,active,yearly,
110,106,1,2023-09-01,,active,monthly,
111,107,1,2023-01-17,2023-03-17,canceled,monthly,price
112,108,4,2023-05-23,2023-06-23,canceled,yearly,competitor
113,109,3,2023-04-17,,active,monthly,
114,110,1,2023-07-20,2023-09-20,canceled,monthly,price
115,111,1,2024-02-08,,active,monthly,
116,112,1,2024-06-25,,active,monthly,
117,113,4,2023-11-03,,active,yearly,
118,114,3,2023-05-05,,active,monthly,
119,115,1,2023-12-05,,active,monthly,
120,116,4,2023-07-11,,active,yearly,
121,117,1,2023-01-13,2024-01-13,canceled,monthly,price
122,118,1,2023-02-28,,active,monthly,
123,119,1,2023-10-09,2024-06-30,canceled,monthly,other
124,120,1,2023-07-08,,active,monthly,
125,121,3,2023-01-03,,active,monthly,
126,122,4,2023-09-23,,active,yearly,
127,123,2,2023-01-03,,active,monthly,
128,124,1,2024-05-17,,active,monthly,
129,125,1,2024-03-25,2024-05-25,canceled,monthly,price
130,126,3,2024-06-23,2024-06-30,canceled,monthly,competitor
131,127,1,2024-06-24,,active,monthly,
132,128,2,2023-08-03,2023-11-03,canceled,monthly,other
133,129,4,2023-04-07,,active,yearly,
134,130,2,2023-03-04,,active,monthly,
135,131,3,2023-10-05,,active,monthly,
136,132,4,2023-06-21,,active,yearly,
137,133,3,2023-08-17,2024-03-17,canceled,monthly,other
138,134,1,2024-03-27,,active,monthly,
139,135,4,2024-02-17,,active,yearly,
140,136,1,2023-09-28,,active,monthly,
141,137,3,2023-04-01,2023-06-01,canceled,monthly,competitor
142,138,3,2023-02-12,,active,monthly,
143,139,1,2023-05-31,2023-12-31,canceled,monthly,price
144,140,1,2024-05-12,2024-06-30,canceled,monthly,features
145,141,2,2023-07-09,,active,monthly,
146,142,2,2023-04-02,,active,monthly,
147,143,4,2023-04-07,,active,yearly,
148,144,1,2023-09-23,,active,monthly,
149,145,1,2024-05-07,2024-06-30,canceled,monthly,price
150,146,1,2023-06-14,,active,monthly,
151,147,2,2023-10-26,,active,monthly,
152,148,4,2023-08-11,2023-10-11,canceled,yearly,competitor
153,149,3,2023-06-03,,active,monthly,
154,150,4,2023-07-10,,active,yearly,
155,151,2,2023-05-26,,active,monthly,
156,152,3,2023-09-12,,active,monthly,
157,153,1,2023-07-18,,active,monthly,
158,154,2,2023-06-20,,active,monthly,
159,155,1,2023-06-10,,active,monthly,
160,156,2,2023-07-11,,active,monthly,
161,157,1,2024-03-30,2024-06-30,canceled,monthly,price
162,158,2,2023-08-12,2023-09-12,canceled,monthly,features
163,159,1,2023-05-04,2024-01-04,canceled,monthly,competitor
164,159,2,2024-01-11,,active,monthly,
165,160,4,2024-02-04,,active,yearly,
166,161,4,2023-03-15,,active,yearly,
167,162,1,2023-03-02,,active,monthly,
168,163,4,2023-06-19,,active,yearly,
169,164,1,2023-05-19,,active,monthly,
170,165,1,2023-08-13,2023-12-13,canceled,monthly,features
171,166,1,2024-01-24,,active,monthly,
172,167,3,2024-03-17,2024-04-17,canceled,monthly,price
173,167,4,2024-04-17,2024-05-17,canceled,yearly,other
174,168,2,2024-02-18,,active,monthly,
175,169,1,2023-04-08,,active,monthly,
176,170,1,2023-11-20,2024-06-30,canceled,monthly,competitor
177,171,1,2024-01-13,2024-03-13,canceled,monthly,features
178,172,3,2024-06-03,,active,monthly,
179,173,1,2024-03-10,,active,monthly,
180,174,1,2023-05-14,,active,monthly,
181,175,4,2023-12-24,2024-06-30,canceled,yearly,competitor
182,176,3,2023-12-15,,active,monthly,
183,177,1,2023-11-24,2023-12-24,canceled,monthly,other
184,178,1,2023-09-11,,active,monthly,
185,179,2,2024-04-13,,active,monthly,
186,180,1,2023-03-14,,active,monthly,
187,181,2,2024-06-04,,active,monthly,
188,182,2,2023-09-21,,active,monthly,
189,183,1,2024-04-08,,active,monthly,
190,184,4,2023-06-18,2023-07-18,canceled,yearly,price
191,185,1,2024-02-05,,active,monthly,
192,186,3,2023-11-20,,active,monthly,
193,187,2,2023-07-09,,active,monthly,
194,188,1,2023-04-16,,active,monthly,
195,189,2,2023-11-27,,active,monthly,
196,190,1,2023-05-23,2023-08-23,canceled,monthly,price
197,191,2,2023-09-15,,active,monthly,
198,192,2,2023-09-01,,active,monthly,
199,193,3,2023-09-26,,active,monthly,
200,194,3,2023-04-30,2023-05-30,canceled,monthly,features
201,195,3,2024-03-19,2024-06-30,canceled,monthly,other
202,196,2,2024-02-25,2024-05-25,canceled,monthly,competitor
203,197,2,2023-02-05,2023-10-05,canceled,monthly,other
204,198,3,2023-04-11,2024-02-11,canceled,monthly,price
205,199,1,2024-05-02,,active,monthly,
206,200,1,2023-12-21,2024-04-21,canceled,monthly,competitor
207,200,1,2024-05-17,2024-06-30,canceled,monthly,competitor
208,201,4,2023-04-21,,active,yearly,
209,202,3,2023-06-10,,active,monthly,
210,203,2,2023-07-24,,active,monthly,
211,204,1,2023-03-03,,active,monthly,
212,205,3,2023-03-27,,active,monthly,
213,206,1,2024-06-02,2024-06-30,canceled,monthly,features
214,207,2,2023-02-03,2023-04-03,canceled,monthly,competitor
215,208,2,2023-03-27,,active,monthly,
216,209,2,2023-11-04,2024-06-30,canceled,monthly,other
217,210,2,2023-10-06,2024-04-06,canceled,monthly,features
218,211,1,2023-12-08,,active,monthly,
219,212,2,2023-06-02,,active,monthly,
220,213,1,2024-05-10,2024-06-10,canceled,monthly,price
221,214,4,2023-05-26,,active,yearly,
222,215,1,2023-03-15,,active,monthly,
223,216,2,2023-10-06,,active,monthly,
224,217,4,2024-05-28,2024-06-30,canceled,yearly,features
225,218,2,2023-02-04,2023-03-04,canceled,monthly,price
226,219,4,2024-02-24,,active,yearly,
227,220,4,2023-04-23,2023-11-23,canceled,yearly,features
228,220,2,2023-12-22,2024-02-22,canceled,monthly,other
229,221,4,2023-11-04,2024-01-04,canceled,yearly,price
230,222,1,2023-03-23,2023-07-23,canceled,monthly,competitor
231,222,1,2023-08-07,,active,monthly,
232,223,4,2024-04-12,,active,yearly,
233,224,4,2023-06-03,2023-07-03,canceled,yearly,price
234,224,1,2023-07-11,,active,monthly,
235,225,4,2024-02-14,,active,yearly,
236,226,1,2023-02-07,2023-08-07,canceled,monthly,other
237,227,1,2024-03-12,,active,monthly,
238,228,2,2023-11-15,,active,monthly,
239,229,1,2024-02-06,,active,monthly,
240,230,2,2023-06-26,,active,monthly,
241,231,4,2024-01-23,,active,yearly,
242,232,2,2023-09-26,,active,monthly,
243,233,3,2023-10-04,,active,monthly,
244,234,2,2023-10-01,,active,monthly,
245,235,1,2023-01-25,,active,monthly,
246,236,3,2023-03-13,,active,monthly,
247,237,4,2023-04-07,2023-05-07,canceled,yearly,features
248,238,1,2023-07-26,2023-08-26,canceled,monthly,competitor
249,239,1,2023-11-08,,active,monthly,
250,240,1,2023-04-25,,active,monthly,
251,241,2,2024-03-31,,active,monthly,
252,242,2,2024-01-29,,active,monthly,
253,243,1,2023-01-25,,active,monthly,
254,244,3,2024-02-12,,active,monthly,
255,245,3,2024-06-12,,active,monthly,
256,246,2,2023-03-22,2023-10-22,canceled,monthly,price
257,247,1,2023-08-03,2023-09-03,canceled,monthly,competitor
258,248,4,2024-06-18,,active,yearly,
259,249,2,2024-02-28,,active,monthly,
260,250,2,2023-08-23,,active,monthly,
261,251,1,2024-01-15,,active,monthly,
262,252,3,2024-01-21,,active,monthly,
263,253,1,2024-05-22,,active,monthly,
264,254,2,2023-01-12,,active,monthly,
265,255,1,2023-06-20,,active,monthly,
266,256,4,2023-02-04,2023-07-04,canceled,yearly,price
267,257,2,2024-04-29,,active,monthly,
268,258,4,2023-04-19,2023-05-19,canceled,yearly,price
269,259,3,2023-09-18,,active,monthly,
270,260,4,2023-08-16,,active,yearly,
271,261,3,2023-10-15,2023-11-15,canceled,monthly,features
272,262,2,2024-06-03,,active,monthly,
273,263,3,2023-04-27,,active,monthly,
274,264,4,2023-04-03,,active,yearly,
275,265,1,2024-02-25,,active,monthly,
276,266,4,2023-11-19,2024-06-30,canceled,yearly,competitor
277,267,1,2023-07-17,2024-01-17,canceled,monthly,price
278,267,1,2024-02-12,2024-06-30,canceled,monthly,competitor
279,268,2,2024-06-09,,active,monthly,
280,269,2,2023-11-07,,active,monthly,
281,270,1,2023-07-06,,active,monthly,
282,271,3,2024-03-03,2024-05-03,canceled,monthly,competitor
283,272,2,2024-01-31,,active,monthly,
284,273,1,2023-06-08,2023-08-08,canceled,monthly,other
285,274,1,2024-06-27,,active,monthly,
286,275,1,2023-07-09,,active,monthly,
287,276,1,2023-11-17,,active,monthly,
288,277,1,2023-10-11,2024-04-11,canceled,monthly,price
289,278,1,2024-03-29,2024-05-29,canceled,monthly,price
290,279,4,2023-02-09,,active,yearly,
291,280,4,2024-03-25,2024-06-30,canceled,yearly,price
292,281,4,2024-03-06,2024-04-06,canceled,yearly,other
293,282,1,2024-06-21,,active,monthly,
294,283,2,2024-02-23,,active,monthly,
295,284,4,2023-03-18,,active,yearly,
296,285,4,2023-06-08,,active,yearly,
297,286,3,2024-01-19,2024-03-19,canceled,monthly,price
298,287,2,2023-11-07,,active,monthly,
299,288,1,2023-09-04,,active,monthly,
300,289,2,2023-06-17,,active,monthly,
301,290,4,2023-01-18,2023-10-18,canceled,yearly,price
302,291,1,2023-09-24,,active,monthly,
303,292,4,2023-09-07,,active,yearly,
304,293,1,2023-07-21,2023-12-21,canceled,monthly,price
305,294,3,2023-12-28,2024-02-28,canceled,monthly,price
306,295,1,2023-10-09,2023-11-09,canceled,monthly,other
307,296,2,2023-05-04,,active,monthly,
308,297,1,2023-02-25,,active,monthly,
309,298,2,2023-09-22,,active,monthly,
310,299,2,2023-12-05,,active,monthly,
311,300,3,2023-04-18,,active,monthly,
312,301,1,2024-04-15,2024-06-30,canceled,monthly,other
313,302,1,2024-01-03,2024-03-03,canceled,monthly,other
314,303,2,2023-01-02,,active,monthly,
315,304,1,2023-06-13,,active,monthly,
316,305,1,2023-08-09,,active,monthly,
317,306,2,2024-01-09,,active,monthly,
318,307,1,2024-02-19,,active,monthly,
319,308,1,2023-02-11,,active,monthly,
320,309,2,2023-03-06,,active,monthly,
321,310,2,2023-05-29,2023-10-29,canceled,monthly,price
322,311,2,2023-03-20,,active,monthly,
323,312,4,2023-02-14,2023-04-14,canceled,yearly,features
324,313,4,2023-07-04,,active,yearly,
325,314,4,2023-11-29,2023-12-29,canceled,yearly,other
326,315,2,2023-03-18,,active,monthly,
327,316,2,2023-03-29,,active,monthly,
328,317,1,2024-05-29,,active,monthly,
329,318,1,2023-11-07,,active,monthly,
330,319,3,2023-03-12,2023-06-12,canceled,monthly,competitor
331,320,1,2024-06-13,2024-06-30,canceled,monthly,price
332,321,1,2024-04-23,,active,monthly,
333,322,3,2023-12-06,,active,monthly,
334,323,4,2024-01-10,,active,yearly,
335,324,1,2024-01-13,2024-06-13,canceled,monthly,other
336,325,4,2023-07-31,,active,yearly,
337,326,4,2024-05-23,2024-06-30,canceled,yearly,features
338,327,2,2024-03-03,,active,monthly,
339,328,3,2024-05-18,2024-06-30,canceled,monthly,competitor
340,329,1,2024-01-12,,active,monthly,
341,330,1,2024-02-19,,active,monthly,
342,331,1,2023-07-20,,active,monthly,
343,332,1,2023-06-04,,active,monthly,
344,333,2,2024-01-14,,active,monthly,
345,334,4,2023-03-12,,active,yearly,
346,335,1,2023-04-28,2023-11-28,canceled,monthly,other
347,336,1,2023-05-04,,active,monthly,
348,337,1,2023-12-07,,active,monthly,
349,338,4,2023-12-31,,active,yearly,
350,339,2,2023-07-31,,active,monthly,
351,340,2,2023-02-24,2023-04-24,canceled,monthly,other
352,341,4,2024-03-10,,active,yearly,
353,342,2,2024-05-07,,active,monthly,
354,343,2,2023-08-20,,active,monthly,
355,344,2,2023-01-10,,active,monthly,
356,345,2,2023-10-14,2024-02-14,canceled,monthly,price
357,346,3,2024-05-30,,active,monthly,
358,347,3,2023-03-18,,active,monthly,
359,348,2,2023-06-06,2023-08-06,canceled,monthly,price
360,349,4,2023-03-05,,active,yearly,
361,350,1,2023-12-16,,active,monthly,
362,351,2,2024-02-11,,active,monthly,
363,352,4,2023-05-16,2023-10-16,canceled,yearly,features
364,353,2,2023-01-05,,active,monthly,
365,354,2,2023-07-26,,active,monthly,
366,355,2,2023-02-02,,active,monthly,
367,356,1,2023-07-17,2023-09-17,canceled,monthly,features
368,356,4,2023-10-15,2024-06-30,canceled,yearly,other
369,357,2,2024-05-24,,active,monthly,
370,358,1,2023-10-08,,active,monthly,
371,359,1,2023-02-17,2024-01-17,canceled,monthly,price
372,360,2,2024-03-09,,active,monthly,
373,361,1,2023-09-24,,active,monthly,
374,362,1,2023-08-24,,active,monthly,
375,363,4,2023-03-29,,active,yearly,
376,364,2,2023-11-18,2023-12-18,canceled,monthly,other
377,365,1,2024-04-05,2024-05-05,canceled,monthly,price
378,366,4,2024-04-01,,active,yearly,
379,367,1,2023-02-17,2023-04-17,canceled,monthly,features
380,368,1,2023-10-14,,active,monthly,
381,369,1,2024-02-18,2024-06-30,canceled,monthly,competitor
382,370,2,2023-12-19,,active,monthly,
383,371,2,2023-09-09,,active,monthly,
384,372,4,2023-03-16,,active,yearly,
385,373,2,2024-06-24,2024-06-30,canceled,monthly,price
386,374,4,2023-07-08,2023-08-08,canceled,yearly,price
387,375,1,2023-01-25,,active,monthly,
388,376,1,2023-04-25,,active,monthly,
389,377,1,2024-06-11,,active,monthly,
390,378,2,2023-03-04,,active,monthly,
391,379,2,2023-04-29,2023-07-29,canceled,monthly,other
392,380,3,2023-04-18,,active,monthly,
393,381,2,2023-10-28,,active,monthly,
394,382,2,2023-04-13,,active,monthly,
395,383,2,2023-04-03,,active,monthly,
396,384,1,2024-05-21,2024-06-30,canceled,monthly,price
397,385,3,2023-10-08,,active,monthly,
398,386,1,2024-05-24,,active,monthly,
399,387,2,2023-02-26,2023-06-26,canceled,monthly,price
400,388,2,2023-04-18,,active,monthly,
401,389,1,2024-01-22,,active,monthly,
402,390,1,2024-01-18,,active,monthly,
403,391,2,2023-08-27,,active,monthly,
404,392,1,2024-03-05,2024-06-30,canceled,monthly,other
405,393,3,2023-05-25,2023-12-25,canceled,monthly,other
406,394,1,2024-04-28,,active,monthly,
407,395,1,2023-06-24,,active,monthly,
408,396,2,2023-04-13,2023-06-13,canceled,monthly,price
409,397,1,2024-03-31,,active,monthly,
410,398,2,2024-04-21,2024-06-30,canceled,monthly,price
411,399,2,2023-02-28,2023-04-28,canceled,monthly,features
412,400,1,2023-05-03,2024-03-03,canceled,monthly,price
413,400,2,2024-03-09,,active,monthly,
414,401,2,2023-11-23,2023-12-23,canceled,monthly,competitor
415,402,2,2023-10-01,,active,monthly,
416,403,3,2024-03-23,,active,monthly,
417,404,4,2023-05-16,,active,yearly,
418,405,2,2023-03-11,,active,monthly,
419,406,1,2023-04-27,,active,monthly,
420,407,1,2024-03-03,,active,monthly,
421,408,4,2023-03-21,,active,yearly,
422,409,1,2023-11-20,,active,monthly,
423,410,1,2023-10-11,2024-02-11,canceled,monthly,price
424,411,4,2023-02-06,,active,yearly,
425,412,1,2023-09-23,,active,monthly,
426,413,1,2023-01-16,2023-10-16,canceled,monthly,competitor
427,414,3,2023-04-08,2023-06-08,canceled,monthly,other
428,415,2,2023-09-29,,active,monthly,
429,416,2,2023-01-17,,active,monthly,
430,417,3,2023-02-21,2023-05-21,canceled,monthly,price
431,418,4,2023-12-10,,active,yearly,
432,419,2,2023-03-09,2023-04-09,canceled,monthly,features
433,419,2,2023-04-19,,active,monthly,
434,420,2,2023-09-22,2023-12-22,canceled,monthly,competitor
435,421,3,2023-09-03,,active,monthly,
436,422,1,2023-07-19,,active,monthly,
437,423,1,2023-01-24,,active,monthly,
438,424,3,2023-05-08,,active,monthly,
439,425,2,2023-04-16,,active,monthly,
440,426,2,2024-03-16,,active,monthly,
441,427,2,2023-12-09,,active,monthly,
442,428,3,2024-04-01,2024-06-30,canceled,monthly,price
443,429,3,2023-07-16,,active,monthly,
444,430,2,2023-10-22,,active,monthly,
445,431,1,2023-11-05,2024-04-05,canceled,monthly,price
446,432,4,2024-02-09,,active,yearly,
447,433,2,2023-12-06,,active,monthly,
448,434,1,2024-01-26,,active,monthly,
449,435,1,2023-02-16,,active,monthly,
450,436,3,2023-07-15,2023-11-15,canceled,monthly,price
451,437,1,2023-07-27,2024-01-27,canceled,monthly,competitor
452,438,4,2024-01-29,,active,yearly,
453,439,3,2023-06-13,2024-04-13,canceled,monthly,price
454,440,3,2024-03-18,,active,monthly,
455,441,4,2024-02-07,2024-06-30,canceled,yearly,price
456,442,2,2023-10-09,2023-12-09,canceled,monthly,other
457,443,4,2023-04-29,,active,yearly,
458,444,2,2023-04-03,2024-02-03,canceled,monthly,competitor
459,445,3,2023-10-11,,active,monthly,
460,446,2,2024-01-02,,active,monthly,
461,447,4,2024-06-05,2024-06-30,canceled,yearly,competitor
462,448,2,2023-06-03,2023-07-03,canceled,monthly,competitor
463,449,2,2023-07-13,,active,monthly,
464,450,4,2024-02-24,2024-03-24,canceled,yearly,competitor
465,451,1,2023-11-15,,active,monthly,
466,452,2,2023-02-04,,active,monthly,
467,453,4,2023-06-23,,active,yearly,
468,454,1,2023-10-02,2023-11-02,canceled,monthly,features
469,455,2,2023-07-15,,active,monthly,
470,456,1,2023-06-28,,active,monthly,
471,457,2,2024-03-30,,active,monthly,
472,458,2,2023-09-21,2023-11-21,canceled,monthly,price
473,459,4,2024-05-13,,active,yearly,
474,460,2,2023-10-19,,active,monthly,
475,461,1,2024-02-07,2024-06-07,canceled,monthly,price
476,462,1,2023-09-02,2023-10-02,canceled,monthly,other
477,463,1,2024-06-04,,active,monthly,
478,464,1,2024-02-02,2024-06-30,canceled,monthly,competitor
479,465,1,2023-09-08,2024-02-08,canceled,monthly,competitor
480,466,1,2023-06-24,2024-01-24,canceled,monthly,competitor
481,467,1,2023-08-26,2023-11-26,canceled,monthly,price
482,468,4,2024-02-02,2024-06-30,canceled,yearly,competitor
483,469,1,2023-04-29,,active,monthly,
484,470,3,2023-08-20,,active,monthly,
485,471,2,2024-04-20,2024-06-30,canceled,monthly,price
486,472,1,2024-06-07,,active,monthly,
487,473,4,2023-06-25,,active,yearly,
488,474,1,2023-11-21,,active,monthly,
489,475,1,2023-07-22,,active,monthly,
490,476,1,2023-02-04,2024-01-04,canceled,monthly,other
491,477,2,2023-03-27,,active,monthly,
492,478,2,2024-06-05,,active,monthly,
493,479,1,2023-08-07,,active,monthly,
494,480,4,2024-05-20,,active,yearly,
495,481,2,2023-04-17,2023-05-17,canceled,monthly,features
496,481,2,2023-05-19,2023-07-19,canceled,monthly,competitor
497,482,2,2023-05-25,,active,monthly,
498,483,1,2023-10-12,,active,monthly,
499,484,2,2023-06-30,2023-08-30,canceled,monthly,features
500,485,1,2024-04-02,,active,monthly,
501,486,2,2024-01-05,,active,monthly,
502,487,2,2023-04-15,,active,monthly,
503,488,4,2023-01-26,2023-03-26,canceled,yearly,competitor
504,488,4,2023-04-02,,active,yearly,
505,489,4,2024-05-29,,active,yearly,
506,490,3,2024-03-03,2024-04-03,canceled,monthly,features
507,490,1,2024-04-18,,active,monthly,
508,491,2,2023-01-27,,active,monthly,
509,492,4,2024-01-31,,active,yearly,
510,493,1,2024-02-28,,active,monthly,
511,494,2,2023-11-08,2024-05-08,canceled,monthly,price
512,495,3,2024-06-02,,active,monthly,
513,496,1,2023-10-08,,active,monthly,
514,497,2,2023-05-17,,active,monthly,
515,498,1,2024-06-14,2024-06-30,canceled,monthly,price
516,499,1,2024-05-27,2024-06-27,canceled,monthly,price
517,500,1,2023-07-21,,active,monthly,
518,501,1,2023-11-08,,active,monthly,
519,502,4,2024-03-01,,active,yearly,
520,503,2,2023-12-30,,active,monthly,
521,504,2,2023-12-31,,active,monthly,
522,505,2,2023-03-11,,active,monthly,
523,506,3,2023-04-30,2023-08-30,canceled,monthly,price
524,507,3,2024-01-21,,active,monthly,
525,508,2,2023-04-14,2023-09-14,canceled,monthly,competitor
526,509,1,2023-05-29,2023-07-29,canceled,monthly,other
527,509,1,2023-07-31,2023-09-30,canceled,monthly,competitor
528,510,4,2023-11-12,,active,yearly,
529,511,1,2024-02-14,,active,monthly,
530,512,4,2024-04-12,,active,yearly,
531,513,1,2023-09-25,,active,monthly,
532,514,1,2024-02-18,2024-04-18,canceled,monthly,price
533,515,3,2024-04-04,,active,monthly,
534,516,1,2023-04-30,2023-11-30,canceled,monthly,other
535,517,2,2023-08-06,,active,monthly,
536,518,4,2023-10-17,2023-12-17,canceled,yearly,price
537,518,3,2024-01-09,2024-06-30,canceled,monthly,competitor
538,519,3,2023-08-23,2024-05-23,canceled,monthly,price
539,519,1,2024-06-22,,active,monthly,
540,520,1,2024-03-03,,active,monthly,
541,521,1,2023-08-03,2024-03-03,canceled,monthly,competitor
542,522,2,2023-02-20,,active,monthly,
543,523,2,2023-10-27,,active,monthly,
544,524,1,2024-05-18,2024-06-30,canceled,monthly,price
545,525,4,2023-04-15,,active,yearly,
546,526,4,2023-11-23,,active,yearly,
547,527,1,2023-05-07,2023-07-07,canceled,monthly,features
548,528,3,2023-05-10,,active,monthly,
549,529,4,2024-02-15,,active,yearly,
550,530,1,2024-02-16,,active,monthly,
551,531,4,2024-06-27,2024-06-30,canceled,yearly,price
552,532,2,2024-04-30,,active,monthly,
553,533,1,2023-04-23,,active,monthly,
554,534,1,2023-06-16,,active,monthly,
555,535,1,2023-12-12,,active,monthly,
556,536,4,2023-11-13,,active,yearly,
557,537,4,2024-05-04,,active,yearly,
558,538,2,2023-08-28,2023-10-28,canceled,monthly,competitor
559,539,2,2024-01-04,2024-06-30,canceled,monthly,price
560,540,2,2023-11-15,2024-02-15,canceled,monthly,competitor
561,541,4,2023-03-03,,active,yearly,
562,542,3,2024-03-15,,active,monthly,
563,543,1,2023-07-01,,active,monthly,
564,544,1,2023-05-17,2024-04-17,canceled,monthly,price
565,545,1,2023-06-20,,active,monthly,
566,546,4,2023-07-16,2024-06-30,canceled,yearly,price
567,547,2,2024-03-13,,active,monthly,
568,548,1,2024-05-14,2024-06-30,canceled,monthly,price
569,549,4,2023-03-17,2023-11-17,canceled,yearly,features
