customer_id,signup_date,country,acquisition_channel
294,2023-07-19,CL,organic
295,2023-03-04,AR,referral
296,2023-10-21,AR,referral
297,2024-02-20,AR,paid
298,2023-04-21,CL,paid
299,2023-12-10,AR,organic
300,2023-02-12,MX,referral
301,2023-01-26,AR,referral
302,2023-10-26,MX,organic
303,2023-10-30,AR,referral
304,2023-12-17,AR,organic
305,2024-01-29,MX,organic
306,2024-06-16,MX,organic
307,2023-10-18,AR,organic
308,2023-06-26,AR,organic
309,2024-03-03,AR,paid
310,2023-05-25,AR,paid
311,2023-09-05,MX,paid
312,2023-02-08,CL,organic
313,2023-01-13,AR,organic
314,2024-06-08,AR,paid
315,2024-03-24,AR,organic
316,2024-01-15,AR,organic
317,2023-08-18,AR,referral
318,2023-03-27,MX,referral
319,2023-03-18,AR,referral
320,2023-05-12,MX,paid
321,2023-11-03,CL,organic
322,2024-01-24,CL,paid
323,2023-12-28,UY,organic
324,2023-05-30,MX,paid
325,2024-06-03,CL,organic
326,2024-02-04,AR,referral
327,2023-11-06,AR,organic
328,2023-12-04,AR,other
329,2023-08-24,MX,referral
330,2023-05-10,UY,paid
331,2023-07-16,AR,referral
332,2024-02-14,MX,paid
333,2023-01-08,MX,referral
334,2023-02-27,UY,paid
335,2023-01-23,MX,referral
336,2023-01-21,UY,paid
337,2024-04-03,AR,other
338,2024-01-18,AR,paid
339,2023-09-27,AR,paid
340,2023-02-18,AR,referral
341,2023-10-06,AR,referral
342,2023-09-26,MX,paid
343,2023-03-27,MX,organic
344,2023-09-02,MX,paid
345,2023-08-11,AR,other
346,2023-12-06,AR,referral
347,2023-12-16,AR,referral
348,2023-01-23,AR,organic
349,2023-07-27,MX,paid
350,2023-12-11,AR,paid
351,2023-10-12,AR,referral
352,2024-04-03,MX,organic
353,2023-12-27,AR,referral
354,2023-03-22,UY,paid
355,2023-02-04,AR,organic
356,2023-12-19,UY,organic
357,2023-01-14,AR,organic
358,2023-11-21,MX,paid
359,2024-05-25,AR,organic
360,2023-11-16,CL,organic
361,2023-08-05,AR,referral
362,2023-12-20,AR,organic
363,2023-09-17,CL,organic
364,2023-11-02,AR,paid
365,2024-05-25,AR,paid
366,2023-08-04,AR,referral
367,2024-06-07,MX,paid
368,2024-05-03,AR,referral
369,2023-04-08,AR,paid
370,2023-02-04,AR,organic
371,2023-02-19,MX,organic
372,2023-01-09,MX,paid
373,2023-02-16,AR,organic
374,2024-01-08,AR,referral
375,2023-02-05,AR,paid
376,2023-06-23,AR,organic
377,2024-03-28,AR,organic
378,2023-01-12,AR,organic
379,2024-03-13,AR,paid
380,2023-05-31,UY,paid
381,2023-02-28,AR,paid
382,2024-01-15,MX,organic
383,2023-12-13,AR,paid
384,2024-04-16,AR,referral
385,2024-02-03,CL,organic
386,2024-03-08,AR,paid
387,2023-06-01,AR,other
388,2023-03-29,MX,organic
389,2024-02-11,AR,paid
390,2024-03-09,AR,organic
391,2024-06-25,AR,paid
392,2023-08-20,AR,organic
393,2023-07-26,MX,other
394,2024-02-23,AR,referral
395,2023-07-07,AR,referral
396,2024-05-19,AR,referral
397,2024-04-04,AR,paid
398,2023-08-30,UY,paid
399,2024-02-11,AR,referral
400,2024-02-12,UY,other
401,2023-02-20,MX,paid
402,2024-05-02,MX,other
403,2023-10-13,AR,paid
404,2024-03-19,AR,paid
405,2023-06-24,CL,paid
406,2024-04-27,CL,organic
407,2023-08-05,AR,organic
408,2023-01-06,AR,organic
409,2024-05-03,AR,paid
410,2023-02-14,CL,organic
411,2023-06-23,AR,paid
412,2024-05-31,MX,other
413,2024-05-31,MX,organic
414,2023-11-15,MX,paid
415,2023-12-14,MX,organic
416,2023-09-11,AR,organic
417,2023-06-07,UY,referral
418,2023-06-29,MX,paid
419,2024-01-03,MX,referral
420,2024-02-11,AR,organic
421,2024-03-02,MX,paid
422,2024-03-01,AR,organic
423,2023-02-14,AR,organic
424,2023-10-07,MX,organic
425,2023-01-29,AR,organic
426,2023-11-04,MX,organic
427,2023-09-07,AR,organic
428,2024-04-22,MX,other
429,2023-07-13,AR,organic
430,2023-02-27,MX,organic
431,2023-03-12,AR,organic
432,2024-02-16,MX,paid
433,2023-12-07,CL,organic
434,2023-02-19,AR,referral
435,2023-02-11,AR,other
436,2024-01-17,MX,organic
437,2023-02-05,MX,paid
438,2024-03-17,MX,organic
439,2024-01-20,MX,paid
440,2023-02-10,AR,paid
441,2023-02-11,AR,organic
442,2024-06-22,AR,organic
443,2023-07-27,AR,paid
444,2023-07-25,MX,paid
445,2024-03-12,AR,organic
446,2024-05-29,UY,paid
447,2024-06-22,CL,paid
448,2024-02-12,CL,referral
449,2023-07-28,CL,organic
450,2023-02-11,AR,referral
451,2024-02-24,CL,paid
452,2023-11-08,AR,organic
453,2023-08-27,AR,paid
454,2024-05-04,MX,paid
455,2023-02-24,AR,other
456,2023-10-07,UY,organic
457,2023-01-06,MX,paid
458,2023-09-23,MX,organic
459,2023-01-28,AR,other
460,2023-02-28,MX,organic
461,2023-02-27,AR,other
462,2023-12-23,CL,other
463,2024-02-08,AR,organic
464,2023-11-20,MX,referral
465,2024-06-07,AR,other
466,2023-07-28,AR,organic
467,2023-06-03,AR,paid
468,2024-04-11,AR,paid
469,2023-04-26,MX,organic
470,2024-06-08,AR,organic
471,2023-01-06,AR,organic
472,2024-06-12,MX,organic
473,2023-01-22,AR,paid
474,2024-04-25,AR,organic
475,2023-10-24,CL,referral
476,2024-06-26,AR,referral
477,2023-02-06,AR,organic
478,2023-11-06,AR,paid
479,2024-06-12,AR,paid
480,2023-10-22,AR,other
481,2023-12-13,AR,organic
482,2024-01-15,MX,organic
483,2023-09-15,AR,other
484,2023-12-12,AR,other
485,2023-11-21,AR,referral
486,2024-05-01,MX,referral
487,2023-01-23,UY,organic
488,2023-05-31,AR,paid
489,2024-05-31,UY,organic
490,2024-04-24,AR,organic
491,2023-09-15,AR,referral
492,2023-12-08,AR,organic
493,2023-05-29,AR,paid
494,2023-04-04,AR,other
495,2023-09-20,AR,organic
496,2023-07-14,AR,other
497,2023-11-20,AR,other
498,2023-02-08,AR,paid
499,2024-06-15,AR,organic
500,2024-06-22,CL,organic
501,2024-01-16,AR,paid
502,2023-10-28,MX,organic
503,2023-06-17,MX,organic
504,2024-03-13,AR,other
505,2024-01-09,AR,organic
506,2023-03-22,AR,referral
507,2024-05-07,MX,organic
508,2024-03-17,AR,paid
509,2024-05-31,AR,other
510,2024-01-29,AR,organic
511,2023-12-05,CL,organic
512,2023-08-23,AR,paid
513,2024-05-20,MX,referral
514,2024-04-09,AR,paid
515,2023-01-23,CL,organic
516,2023-01-13,AR,organic
517,2023-07-29,AR,other
518,2024-03-11,UY,other
519,2024-06-23,MX,paid
520,2023-03-16,AR,referral
521,2023-11-26,AR,paid
522,2023-07-31,MX,paid
523,2024-06-12,CL,organic
524,2024-03-27,AR,paid
525,2024-03-25,MX,paid
526,2023-09-23,MX,organic
527,2023-08-21,AR,paid
528,2023-05-26,MX,referral
529,2023-01-28,AR,paid
530,2024-04-08,UY,paid
531,2024-03-12,MX,other
532,2024-06-30,MX,organic
533,2024-06-28,AR,paid
534,2023-11-06,AR,referral
535,2024-02-20,AR,paid
536,2024-05-28,MX,organic
537,2024-03-30,MX,organic
538,2023-05-10,AR,referral
539,2023-09-12,MX,paid
540,2023-03-05,CL,referral
541,2024-06-02,AR,paid
542,2023-12-01,AR,paid
543,2023-04-29,MX,referral
544,2024-01-03,AR,paid
545,2023-12-07,MX,organic
546,2023-07-17,AR,paid
547,2023-02-25,UY,referral
548,2024-01-03,AR,organic
549,2023-10-20,AR,organic
550,2024-02-21,AR,organic
551,2023-10-20,AR,other
552,2024-04-01,AR,organic
553,2023-11-05,AR,paid
554,2023-11-09,UY,paid
555,2024-04-16,UY,paid
556,2023-08-14,AR,paid
557,2023-03-07,MX,organic
558,2023-01-15,AR,paid
559,2024-02-13,CL,referral
560,2023-12-08,MX,referral
561,2024-01-19,AR,organic
562,2023-04-19,MX,referral
563,2023-03-09,MX,paid
564,2023-01-08,AR,referral
565,2023-07-13,CL,paid
566,2023-11-23,CL,paid
567,2023-08-07,AR,other
568,2023-09-04,MX,referral
569,2024-05-03,UY,paid
570,2023-07-11,AR,organic
571,2023-10-17,AR,organic
572,2024-02-27,AR,organic
573,2023-08-10,CL,organic
574,2023-12-09,MX,organic
575,2024-04-07,AR,referral
576,2024-05-30,UY,organic
577,2023-03-14,MX,paid
578,2024-05-16,CL,organic
579,2023-10-06,AR,organic
580,2023-05-17,AR,organic
581,2023-09-17,MX,organic
582,2024-06-18,AR,referral
583,2023-10-07,MX,referral
584,2023-06-29,CL,organic
585,2023-12-15,AR,paid
586,2023-05-06,CL,paid
587,2023-02-07,AR,referral
588,2023-03-05,AR,referral
589,2023-03-05,AR,paid
590,2023-03-16,AR,paid
591,2023-03-10,AR,referral
592,2023-12-19,CL,organic
593,2023-03-31,MX,paid
594,2023-07-10,AR,other
595,2024-04-28,MX,referral
596,2023-09-27,AR,paid
597,2024-01-01,AR,paid
598,2023-03-26,MX,organic
599,2023-04-06,MX,paid
600,2023-01-21,MX,paid
601,2023-03-25,AR,paid
602,2023-05-29,MX,referral
603,2023-03-29,MX,referral
604,2023-02-13,UY,organic
605,2023-03-01,AR,paid
606,2023-09-18,MX,paid
607,2023-04-15,MX,paid
608,2023-07-21,UY,organic
609,2023-10-12,AR,paid
610,2024-01-12,AR,referral
611,2023-01-20,AR,paid
612,2024-03-06,AR,other
613,2023-12-12,AR,other
614,2023-02-10,AR,organic
615,2024-04-14,MX,organic
616,2024-05-13,AR,other
617,2023-01-31,AR,other
618,2023-05-28,AR,organic
619,2024-03-09,AR,organic
620,2024-02-09,UY,organic
621,2023-04-02,MX,other
622,2023-04-17,CL,organic
623,2023-07-25,AR,paid
624,2023-10-03,CL,referral
625,2023-12-07,AR,organic
626,2023-07-24,MX,paid
627,2023-09-20,AR,organic
628,2024-02-09,MX,referral
629,2023-01-19,MX,organic
630,2023-05-13,AR,paid
631,2024-01-23,AR,paid
632,2024-04-27,MX,organic
633,2023-10-16,AR,organic
634,2023-10-26,AR,paid
635,2023-02-22,AR,organic
636,2023-09-10,AR,referral
637,2023-10-26,CL,referral
638,2023-05-07,AR,paid
639,2023-05-24,AR,paid
640,2023-07-29,CL,paid
641,2023-01-10,MX,referral
642,2023-06-25,AR,paid
643,2023-04-18,CL,organic
644,2023-06-28,AR,organic
645,2023-02-28,AR,paid
646,2024-04-24,UY,paid
647,2023-11-25,UY,paid
648,2024-01-06,AR,organic
649,2024-03-01,AR,referral
650,2023-10-09,AR,organic
651,2023-02-12,AR,organic
652,2023-10-28,AR,paid
653,2023-11-22,AR,organic
654,2024-02-08,UY,paid
655,2023-09-01,CL,organic
656,2023-03-04,AR,paid
657,2023-06-02,MX,paid
658,2023-07-20,AR,organic
659,2023-12-21,AR,organic
660,2023-11-14,AR,referral
661,2023-07-16,MX,paid
662,2024-06-22,AR,paid
663,2023-12-01,CL,organic
664,2023-05-04,MX,paid
665,2023-02-20,AR,paid
666,2023-03-17,AR,paid
667,2023-05-09,MX,referral
668,2023-03-21,CL,organic
669,2023-04-03,MX,organic
670,2023-06-02,AR,referral
671,2023-03-27,MX,other
672,2024-04-28,AR,organic
673,2023-02-09,UY,paid
674,2023-10-22,MX,organic
675,2023-08-18,MX,organic
676,2024-06-20,AR,organic
677,2023-02-25,MX,organic
678,2023-08-11,AR,referral
679,2024-06-12,AR,paid
680,2024-04-09,AR,organic
681,2024-03-14,UY,organic
682,2023-05-17,MX,referral
683,2023-03-26,AR,organic
684,2024-01-01,CL,paid
685,2024-05-18,AR,organic
686,2023-11-07,AR,paid
687,2023-11-14,AR,organic
688,2023-05-30,MX,organic
689,2024-02-20,AR,organic
690,2023-04-03,AR,organic
691,2023-06-26,MX,paid
692,2023-08-28,AR,paid
693,2023-10-14,MX,organic
694,2023-05-07,AR,organic
695,2023-02-26,MX,paid
696,2023-12-04,MX,paid
697,2023-06-05,MX,other
698,2023-11-19,AR,paid
699,2023-03-17,MX,paid
700,2023-10-01,AR,paid
701,2023-10-26,CL,other
702,2023-01-26,AR,referral
703,2023-07-04,AR,organic
704,2023-03-08,MX,organic
705,2023-02-01,MX,organic
706,2024-06-24,AR,paid
707,2023-06-25,UY,referral
708,2024-03-11,UY,paid
709,2023-05-15,MX,organic
710,2024-01-08,AR,referral
711,2024-02-15,MX,referral
712,2023-11-26,AR,organic
713,2023-09-25,AR,paid
714,2023-08-19,CL,paid
715,2023-07-12,UY,referral
716,2024-05-18,UY,referral
717,2024-03-21,AR,paid
718,2024-06-09,AR,paid
719,2023-03-03,AR,referral
720,2024-02-01,AR,paid
721,2024-05-24,AR,organic
722,2023-03-31,AR,referral
723,2023-02-02,MX,organic
724,2024-02-06,MX,organic
725,2023-11-16,MX,referral
726,2024-03-26,CL,referral
727,2023-03-10,AR,paid
728,2024-03-04,AR,organic
729,2023-04-12,MX,organic
730,2023-03-22,AR,organic
731,2023-03-22,MX,organic
732,2024-03-13,AR,referral
733,2023-12-31,AR,organic
734,2023-10-22,MX,paid
735,2023-07-18,CL,organic
736,2024-04-16,CL,other
737,2023-08-07,AR,organic
738,2024-03-14,AR,organic
739,2023-09-05,CL,organic
740,2023-07-29,AR,paid
741,2023-09-20,AR,paid
742,2023-06-12,CL,paid
743,2024-02-09,MX,paid
744,2023-10-12,CL,organic
745,2023-05-01,AR,paid
746,2024-04-30,AR,paid
747,2023-08-02,CL,organic
748,2023-11-01,AR,organic
749,2024-05-04,MX,organic
750,2023-12-10,AR,organic
751,2023-02-27,CL,paid
752,2024-05-24,MX,organic
753,2023-12-12,AR,organic
754,2023-07-03,AR,organic
755,2023-03-10,MX,other
756,2024-03-03,MX,referral
757,2023-12-08,AR,organic
758,2023-10-27,CL,organic
759,2024-04-26,AR,organic
760,2024-02-29,AR,paid
761,2023-03-16,AR,organic
762,2023-06-19,UY,paid
763,2023-05-11,AR,paid
764,2024-02-07,AR,referral
765,2023-01-17,CL,organic
766,2023-11-14,AR,referral
767,2024-02-16,AR,referral
768,2024-04-16,AR,organic
769,2023-07-07,MX,organic
770,2024-03-16,MX,organic
771,2023-02-24,CL,organic
772,2024-03-29,CL,organic
773,2023-03-04,MX,paid
774,2023-08-10,MX,paid
775,2024-03-05,AR,other
776,2023-03-15,AR,organic
777,2023-04-29,MX,other
778,2024-01-28,CL,organic
779,2024-01-27,AR,referral
780,2023-12-19,AR,organic
781,2024-01-14,AR,organic
782,2023-10-31,AR,referral
783,2023-05-13,AR,organic
784,2023-07-10,AR,paid
785,2023-03-31,AR,paid
786,2024-05-05,MX,paid
787,2023-11-20,AR,paid
788,2023-08-13,MX,referral
789,2023-09-19,CL,organic
790,2024-05-29,UY,paid
791,2023-03-17,MX,referral
792,2023-11-22,AR,organic
793,2023-10-13,UY,organic
794,2023-12-04,MX,referral
795,2023-01-09,AR,paid
796,2024-04-13,AR,paid
797,2024-05-20,AR,organic
798,2023-11-11,AR,paid
799,2024-01-15,AR,organic
800,2024-05-14,CL,paid
801,2024-01-20,AR,referral
802,2023-03-17,MX,organic
803,2023-11-17,CL,paid
804,2023-12-02,MX,other
805,2023-08-27,CL,paid
806,2024-02-04,UY,referral
807,2024-05-21,AR,paid
808,2024-05-16,UY,referral
809,2023-09-12,MX,organic
810,2023-02-25,AR,organic
811,2024-06-21,MX,organic
812,2024-03-25,MX,paid
813,2023-03-03,CL,referral
814,2024-05-13,AR,organic
815,2024-04-11,MX,paid
816,2023-10-19,AR,referral
817,2023-11-24,AR,paid
818,2023-08-11,AR,organic
819,2023-01-27,AR,paid
820,2023-07-03,CL,organic
821,2024-03-07,AR,organic
822,2023-01-03,AR,other
823,2023-07-02,AR,organic
824,2023-08-11,AR,organic
825,2023-10-29,AR,referral
826,2024-05-12,AR,organic
827,2023-07-10,MX,paid
828,2023-07-10,AR,organic
829,2024-02-04,AR,organic
830,2023-09-13,AR,organic
831,2023-04-26,MX,organic
832,2023-09-13,AR,paid
833,2023-03-11,MX,referral
834,2023-03-28,CL,paid
835,2023-10-09,MX,other
836,2023-08-24,AR,organic
837,2024-05-09,MX,paid
838,2023-07-20,MX,paid
839,2023-11-19,AR,other
840,2023-12-14,CL,organic
841,2023-01-07,CL,paid
842,2023-12-30,CL,referral
843,2023-03-29,CL,organic
844,2024-06-07,MX,referral
845,2023-03-15,MX,organic
846,2023-08-21,MX,referral
847,2023-02-12,CL,other
848,2024-06-29,MX,paid
849,2023-10-11,AR,paid
850,2023-11-26,AR,organic
851,2023-02-03,CL,other
852,2024-02-10,AR,paid
853,2023-04-17,MX,organic
854,2024-04-29,UY,paid
855,2023-04-14,MX,paid
856,2023-04-05,UY,organic
857,2023-01-18,MX,organic
858,2023-09-25,AR,organic
859,2023-11-11,CL,paid
860,2023-02-02,AR,paid
861,2024-02-23,AR,paid
862,2023-09-14,AR,referral
863,2023-10-22,AR,referral
864,2023-09-06,AR,paid
865,2023-08-13,AR,organic
866,2023-11-09,MX,paid
867,2023-03-18,CL,paid
868,2023-03-31,AR,paid
869,2024-04-06,AR,paid
870,2024-05-28,MX,organic
871,2023-07-27,MX,other
872,2023-05-25,CL,organic
873,2023-12-20,AR,paid
874,2023-08-17,CL,organic
875,2023-01-13,AR,other
876,2023-03-18,MX,organic
877,2024-01-25,AR,organic
878,2023-12-27,AR,organic
879,2023-01-14,AR,organic
880,2023-04-25,AR,organic
881,2023-04-30,AR,paid
882,2024-01-03,CL,paid
883,2023-01-10,MX,organic
884,2023-02-21,MX,organic
885,2024-03-06,AR,referral
886,2023-03-29,AR,paid
887,2023-12-24,UY,referral
888,2023-05-05,MX,paid
889,2023-02-18,AR,organic
890,2023-05-08,AR,organic
891,2024-01-28,MX,organic
892,2024-04-03,AR,referral
893,2024-03-21,AR,other
894,2023-08-10,CL,paid
895,2024-01-01,MX,organic
896,2023-04-14,MX,organic
897,2023-06-07,AR,organic
898,2024-04-28,AR,paid
899,2023-01-07,UY,organic
900,2023-02-12,CL,other
901,2023-04-16,AR,organic
902,2023-01-14,AR,other
903,2023-03-31,AR,referral
904,2023-11-20,AR,referral
905,2023-08-25,MX,paid
906,2024-04-25,UY,paid
907,2024-03-14,AR,paid
908,2023-07-07,AR,paid
909,2023-05-18,CL,paid
910,2023-07-31,AR,other
911,2023-11-24,UY,referral
912,2023-05-23,MX,referral
913,2023-12-10,UY,referral
914,2023-08-18,AR,organic
915,2023-11-05,AR,organic
916,2023-09-03,AR,paid
917,2023-06-08,AR,paid
918,2024-05-30,AR,referral
919,2024-02-17,UY,paid
920,2023-03-10,CL,paid
921,2024-04-11,MX,paid
922,2023-10-04,AR,organic
923,2024-04-27,MX,paid
924,2024-03-06,MX,referral
925,2023-08-28,AR,organic
926,2023-01-12,UY,paid
927,2023-05-23,AR,paid
928,2023-10-31,AR,organic
929,2023-12-15,AR,organic
930,2023-05-17,MX,other
931,2023-03-10,MX,organic
932,2024-03-23,AR,organic
933,2024-06-21,AR,organic
934,2023-10-23,AR,paid
935,2023-03-26,AR,paid
936,2023-05-26,AR,paid
